Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
3251|2000165|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-13 16:08:01|
3129|1007251|170|3|ESTA OPERACION AMPARA LAS TRANSFERENCIAS EFECTUADAS EN EL MES DE DICIEMBRE DEL 2021 - - Relacion de facturas - - FACTR:|1|2022-01-11 12:45:00|
3251|2000165|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-13 16:08:01|
3251|2000023|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 16:25:03|
3251|2000161|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-13 16:09:00|
3129|1007238|170|5|931864;FMX-211231;31-12-2021;;USD;249,411.120|1|2022-01-14 16:21:01|
3129|1007240|170|4|-12-2022;;USD;25,840.290|1|2022-01-06 18:14:00|
3251|2000164|160|5|BL REVALIDADO.|1|2022-01-13 16:08:00|
3251|2000100|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-07 16:32:11|
3129|1007240|170|2|LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 17 3129 1007286 ESTA OPERACION AMPARA LAS TRANSFERE|1|2022-01-06 18:14:00|
3129|1007239|170|3|NSFERENCIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;VRK-21|1|2022-01-07 10:45:00|
3251|2000099|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-07 16:17:01|
3129|1007238|170|2|PRESA FORMEX MEXICO, S.A. DE C.V. CON NUMERO DE PROGRAMA IMMEX 3783-2006 Y LA EMPRESA LOGISTECH DE MEXICO S.A. DE C.V. C|1|2022-01-14 16:21:01|
3251|2000027|160|7|EL CONTENEDOR  TGHU9834228 CON UN PESO DE 19797.12KGS Y 33 PALLETS SE RELACIONA CON EL PEDIMENTO 22 16 3251 2000026.|1|2022-01-04 14:00:01|
3251|2000099|160|5|BL REVALIDADO|1|2022-01-07 16:17:01|
3129|1007246|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE, ARTICULOS 105, 112 LA. y ART.|1|2022-01-17 09:26:00|
3251|2000162|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-13 17:02:02|
3129|1007246|170|3|UADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;MET-211231;31-12-2022;;|1|2022-01-17 09:26:00|
3251|2000161|160|8|2000162. FECHA DE PAGO 13/01/2022|1|2022-01-13 16:09:00|
3129|2001413|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105, 112 LA. y ART|1|2022-01-18 15:30:00|
3251|2000027|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 14:00:01|
3129|1007239|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17, 5.2.4, 5.2.6, 5.2.7 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105|1|2022-01-07 10:45:00|
3172|2000087|640|1|ANEXO FACTURA SEGUN ART. 36  Y 36-A FRACC. I DE LA LEY ADUANERA Y REGLA 3.1.8 DE CARACTER GENERAL EN MATERIA DE COMERCIO|1|2022-01-21 16:02:01|
3129|1007251|170|4|NES LIMITED;27-931864;MATC-211231;31-12-2022;;USD;4,382.430|1|2022-01-11 12:45:00|
3129|1007252|170|2|LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 75 3076 1077259 ESTA OPERACION AMPARA LAS TRANSFERE|1|2022-01-12 08:54:01|
3251|2000026|160|8|3251 2000027. FECHA DE PAGO 04/01/2022|1|2022-01-04 13:53:03|
3172|2000016|640|2|EXTERIOR. ARTICULOS 54 Y 108 DE LA LEY ADUANERA.|1|2022-01-05 15:51:05|
3251|2000027|160|8|FECHA DE PAGO 04/01/2022|1|2022-01-04 14:00:01|
3129|1007258|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17., 5.2.4, 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE VIGENTES,  ART|1|2022-01-12 17:24:01|
3129|1007253|170|3|NCIAS EFECTUADAS EN EL MES DE DICIEMBRE DEL 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;MET-211231-SA|1|2022-01-17 09:30:01|
3251|2000162|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-13 17:02:02|
3251|2000019|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 13:53:01|
3251|2000162|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-13 17:02:02|
3129|1007245|170|3|NSFERENCIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;ISRI-2|1|2022-01-12 08:54:01|
3129|1007247|170|2|5, 112 LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 75 3694 1079291 ESTA OPERACION AMPARA LAS OP|1|2022-01-13 12:08:00|
3129|1007236|170|2|A. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 75 3076 1113771 ESTA OPERACION AMPARA LAS TRANSFEREN|1|2022-01-18 17:18:02|
3129|1007253|170|4|L;31-12-2022;;USD;60,281.020|1|2022-01-17 09:30:01|
3129|1007243|170|2|, 112 LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 64 3589 1008382 ESTA OPERACION AMPARA LAS TRA|1|2022-01-06 15:25:00|
3251|2000027|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 14:00:01|
3251|2000019|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 13:53:01|
3129|1007242|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17, 5.2.4, 5.2.6, 5.2.7 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105|1|2022-01-05 15:18:01|
3251|2000026|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 13:53:03|
3251|2000019|160|5|BL REVALIDADO.|1|2022-01-04 13:53:01|
3251|2000024|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 16:26:01|
3129|1007247|170|4|231;31-12-2022;;USD;54,800.320|1|2022-01-13 12:08:00|
3251|2000162|160|5|BL REVALIDADO.|1|2022-01-13 17:02:02|
3251|2000021|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 16:25:01|
3129|1007252|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE VIGENTES,  ARTICULOS 105, 112|1|2022-01-12 08:54:01|
3129|1007243|170|3|NSFERENCIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;INM-21|1|2022-01-06 15:25:00|
3129|2001413|170|3|TED;27-931864;DIG-210117;17-01-2022;;USD;3,712.000|1|2022-01-18 15:30:00|
3251|2000027|160|5|BL REVALIDADO.|1|2022-01-04 14:00:01|
3129|1007245|170|2|, 112 LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 52 3770 1018695 ESTA OPERACION AMPARA LAS TRA|1|2022-01-12 08:54:01|
3129|1007238|170|3|ON NUMERO DE PROGRAMA IMMEX 619-2010.  SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 75 3694 1079269 ESTA OPERACION A|1|2022-01-14 16:21:01|
3129|1007241|170|4|1-12-2022;;USD;17,933.600|1|2022-01-05 16:58:00|
3251|2000163|160|8|3251 2000164. FECHA DE PAGO 13/01/2022|1|2022-01-13 16:07:01|
3251|2000100|160|5|BL REVALIDADO|1|2022-01-07 16:32:11|
3172|2000002|640|1|ANEXO FACTURA SEGUN ART. 36  Y 36-A FRACC. I DE LA LEY ADUANERA Y REGLA 3.1.8 DE CARACTER GENERAL EN MATERIA DE COMERCIO|1|2022-01-05 15:51:05|
3172|2000002|640|2|EXTERIOR. ARTICULOS 54 Y 108 DE LA LEY ADUANERA.|1|2022-01-05 15:51:05|
3251|2000100|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-07 16:32:11|
3251|2000099|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-07 16:17:01|
3251|2000026|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0614038, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-04 13:53:03|
3251|2000023|160|5|BL REVALIDADO|1|2022-01-04 16:25:03|
3129|1007236|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17, 5.2.6, 5.2.7 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105, 112 L|1|2022-01-18 17:18:02|
3251|2000026|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 13:53:03|
3251|2000161|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-13 16:09:00|
3251|2000163|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0621344, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-13 16:07:01|
3129|1007236|170|3|CIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;AUT-211231;31|1|2022-01-18 17:18:02|
3251|2000021|160|5|BL REVALIDADO|1|2022-01-04 16:25:01|
3251|2000023|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 16:25:03|
3251|2000023|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 16:25:03|
3129|1007238|170|4|MPARA LAS TRANSFERENCIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-|1|2022-01-14 16:21:01|
3251|2000025|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 16:26:01|
3129|1007247|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17., 5.2.4, 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE,  ARTICULOS 10|1|2022-01-13 12:08:00|
3251|2000162|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-13 17:02:02|
3251|2000100|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-07 16:32:11|
3129|1007245|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17, 5.2.4, 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105|1|2022-01-12 08:54:01|
3129|1007252|170|3|NCIAS EFECTUADAS EN EL MES DE DICIEMBRE DEL 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;GENI-211231;3|1|2022-01-12 08:54:01|
3129|1007258|170|3|RA LAS OPERACIONES EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864|1|2022-01-12 17:24:01|
3251|2000024|160|5|BL REVALIDADO|1|2022-01-04 16:26:01|
3251|2000025|160|5|BL REVALIDADO|1|2022-01-04 16:26:01|
3129|1007252|170|4|1-12-2022;;USD;9,266.400|1|2022-01-12 08:54:01|
3129|1007243|170|4|1231;31-12-2022;;USD;88,338.640|1|2022-01-06 15:25:00|
3251|2000164|160|7|EL CONTENEDOR CMAU7482444 CON 19846.03KGS Y 32 PALLET SE RELACIONA CON EL PEDIMENTO 22 16 3251 2000163. FECHA DE PAGO|1|2022-01-13 16:08:00|
3251|2000163|160|7|LOS CONTENEDORES TGHU6341927/APHU6751983 CON UN PESO DE 39687.66KGS Y 62 PALLET SE RELACIONA CON EL PEDIMENTO 22 16|1|2022-01-13 16:07:01|
3251|2000026|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 13:53:03|
3251|2000026|160|7|LOS CONTENEDORES TCNU3566281 Y BEAU4149514 CON UN PESO DE 39550.59KGS Y 75 PALLETS SE RELACIONA CON EL PEDIMENTO 22 16|1|2022-01-04 13:53:03|
3251|2000099|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-07 16:17:01|
3251|2000027|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 14:00:01|
3251|2000161|160|5|BL REVALIDADO.|1|2022-01-13 16:09:00|
3251|2000022|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 16:25:02|
3129|1007258|170|4|;MASE-PUE211231;31-12-2022;;USD;5,636.850|1|2022-01-12 17:24:01|
3172|2000016|640|1|ANEXO FACTURA SEGUN ART. 36  Y 36-A FRACC. I DE LA LEY ADUANERA Y REGLA 3.1.8 DE CARACTER GENERAL EN MATERIA DE COMERCIO|1|2022-01-05 15:51:05|
3251|2000164|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0621344, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-13 16:08:00|
3251|2000161|160|7|LOS CONTENEDORES  CAAU6266419/CMAU6883946 CON UN PESO DE 39658.72KGS Y 72 PALLET RELACIONA CON EL PEDIMENTO 22 16 3251|1|2022-01-13 16:09:00|
3129|2000106|240|1|ARTICULOS 54 Y 108 DE LA LEY ADUANERA.|1|2022-01-19 13:20:32|
3129|1007242|170|2|, 112 LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 75 3076 1113357 ESTA OPERACION AMPARA LAS TRA|1|2022-01-05 15:18:01|
3251|2000022|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 16:25:02|
3251|2000022|160|5|BL REVALIDADO|1|2022-01-04 16:25:02|
3251|2000020|160|5|BL REVALIDADO.|1|2022-01-04 13:53:02|
3251|2000022|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 16:25:02|
3251|2000026|160|5|BL REVALIDADO.|1|2022-01-04 13:53:03|
3251|2000099|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-07 16:17:01|
3129|1007244|170|2|A. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 75 3076 1111120 ESTA OPERACION AMPARA LAS TRANSFEREN|1|2022-01-17 18:23:00|
3251|2000163|160|5|BL REVALIDADO.|1|2022-01-13 16:07:01|
3251|2000165|160|5|BL REVALIDADO|1|2022-01-13 16:08:01|
3251|2000164|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-13 16:08:00|
3251|2000164|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-13 16:08:00|
3129|1007240|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17., 5.2.6, 5.2.7 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105, 112|1|2022-01-06 18:14:00|
3129|1007240|170|3|NCIAS EFECTUADAS EN EL MES DE DICIEMBRE DEL 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;MRE-211231;31|1|2022-01-06 18:14:00|
3251|2000164|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-13 16:08:00|
3251|2000163|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-13 16:07:01|
3129|1007245|170|4|11231;31-12-2022;;USD;5,773.600|1|2022-01-12 08:54:01|
3251|2000019|160|8|3251 2000020. FECHA DE PAGO 04/01/2022|1|2022-01-04 13:53:01|
3251|2000165|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-13 16:08:01|
3129|1007251|170|2|COMERCIO EXTERIOR VIGENTES. ANEXO FACTURAS PARA TRANSFERENCIA. SE RELACIONA CON PED. IMP. VIRTUAL NO. 21 24 3801 1013601|1|2022-01-11 12:45:00|
3129|1007243|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17, 5.2.4, 5.2.5, 5.2.6 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105|1|2022-01-06 15:25:00|
3251|2000163|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-13 16:07:01|
3251|2000163|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-13 16:07:01|
3251|2000020|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 13:53:02|
3129|1007241|170|3|NCIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;CLS-211231;3|1|2022-01-05 16:58:00|
3251|2000019|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 13:53:01|
3129|1007241|170|2|ERALES DE COMERCIO EXTERIOR VIGENTES PEDIMENTO DE IMPORTACION No. 21 75 3076 1113550 ESTA OPERACION AMPARA LAS TRANSFERE|1|2022-01-05 16:58:00|
3129|1007242|170|3|NSFERENCIAS EFECTUADAS EN EL MES DE DICIEMBRE DEL 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;SLMF-21|1|2022-01-05 15:18:01|
3251|2000024|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 16:26:01|
3251|2000019|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0601310, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-04 13:53:01|
3251|2000024|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 16:26:01|
3251|2000163|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-13 16:07:01|
3251|2000164|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-13 16:08:00|
3251|2000023|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 16:25:03|
3251|2000021|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 16:25:01|
3172|2000087|640|2|EXTERIOR. ARTICULOS 54 Y 108 DE LA LEY ADUANERA.|1|2022-01-21 16:02:01|
3129|1007236|170|4|-12-2021;;USD;157,866.720|1|2022-01-18 17:18:02|
3129|1007241|170|1|ESTA OPERACION SE EFECTUA EN BASE AL ART. 122 DE LA LEY ADUANERA. REGLAS 1.6.17, 4.3.21, 5.2.5, 5.2.6. DE LAS REGLAS GEN|1|2022-01-05 16:58:00|
3251|2000021|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 16:25:01|
3251|2000022|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 16:25:02|
3129|1007244|170|4|1;31-12-2022;;USD;264,433.650|1|2022-01-17 18:23:00|
3251|2000164|160|8|13/01/2022|1|2022-01-13 16:08:00|
3251|2000020|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 13:53:02|
3129|1007242|170|4|1231;31-12-2022;;USD;30,384.500|1|2022-01-05 15:18:01|
3251|2000165|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-13 16:08:01|
3251|2000020|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0601310, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-04 13:53:02|
3251|2000021|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 16:25:01|
3251|2000020|160|8|FECHA DE PAGO 04/01/2022|1|2022-01-04 13:53:02|
